participant,block,trial,effect,order,distance,diag,config_1,config_2,h_1,w_1,h_2,w_2,h_3,w_3,choice,choice_name,rt,correct
10,1,1,critical,whd,45,upper,4,4.2,125,200,200,125,117,117,2,h,2.4494056701660156,1
10,1,2,filler_square,NA,NA,NA,4,4.1,104.90656932793442,84.83673681607446,90.74643147467054,130.22477053878134,155.4564327555359,155.4564327555359,3,NA,3.944561719894409,1
10,1,3,critical,hwd,60,upper,2.1,2.11,200,125,125,200,100,100,1,h,7.7495198249816895,1
10,1,4,catch,NA,NA,NA,2.2,2.22,180,145,133,57,107,83,1,NA,1.7188806533813477,1
10,1,5,critical,dhw,45,lower,2.1,2.11,65,65,133,57,57,133,3,w,5.363122940063477,1
10,1,6,filler_square,NA,NA,NA,2.2,2.22,108.47394079718032,132.8689742150992,163.36316077311417,163.36316077311417,94.71267172148191,57.870459233017385,2,NA,2.3854637145996094,1
10,1,7,critical,dwh,45,upper,4,4.2,117,117,125,200,200,125,2,w,2.447829008102417,1
10,1,8,filler_square,NA,NA,NA,2.1,2.12,122.93753300457954,122.93753300457954,99.26265299067771,77.71655958291797,102.32394966876083,75.00629780710489,1,NA,1.5535213947296143,1
10,1,9,catch,NA,NA,NA,3,3.1,137,188,131,59,113,77,1,NA,1.5563673973083496,1
10,1,10,filler_square,NA,NA,NA,2.2,2.22,131.3321622055878,106.45694340986483,132.78048466847972,62.95420134049044,161.68139802873586,161.68139802873586,3,NA,1.9867990016937256,1
10,1,11,filler_random,NA,NA,NA,1,1.3,120.47392899138764,78.54181272929483,57.60690260081367,113.10780675735717,149.57224132039,122.70361820256838,3,NA,1.6819770336151123,1
10,1,12,filler_square,NA,NA,NA,4,4.1,59.416513643929044,77.2868683060755,57.957033604341945,65.85001496472401,78.52316203253666,78.52316203253666,3,NA,2.8372671604156494,1
10,1,13,filler_square,NA,NA,NA,2.2,2.21,101.11619689544483,116.15529691638702,163.4831399640706,163.4831399640706,78.72344380490894,85.79398914072468,2,NA,1.650275468826294,1
10,1,14,critical,wdh,60,upper,1,1.2,125,200,100,100,200,125,1,w,2.483476161956787,1
10,1,15,filler_random,NA,NA,NA,4,4.1,176.36338218610013,67.86023224795154,111.80333785726322,129.75040373887333,119.50216788530186,160.57316865626672,3,NA,3.056253433227539,1
10,1,16,catch,NA,NA,NA,4,4.2,118,72,199,126,131,59,2,NA,1.325143575668335,1
10,1,17,critical,dhw,60,lower,1,1.1,55,55,133,57,57,133,2,h,5.61496901512146,1
10,1,18,filler_random,NA,NA,NA,1,1.2,142.50311251980972,193.9321517684046,63.303281864595164,132.1627542360543,120.33802987910559,127.69928424939611,1,NA,1.284301996231079,1
10,1,19,catch,NA,NA,NA,2.1,2.11,199,126,103,87,119,71,1,NA,0.900428295135498,1
10,1,20,filler_square,NA,NA,NA,1,1.1,148.80138921058023,148.80138921058023,80.80952482286472,127.64312763077524,94.68024822398621,122.42987031017744,1,NA,1.3911283016204834,1
10,1,21,filler_square,NA,NA,NA,3,3.1,163.02693138694445,163.02693138694445,88.45246293828927,73.4677202374123,132.76237486281752,151.55575559363993,1,NA,1.6407408714294434,1
10,1,22,critical,whd,60,lower,2.1,2.12,57,133,133,57,55,55,2,h,3.9763898849487305,1
10,1,23,critical,whd,45,lower,1,1.3,57,133,133,57,65,65,1,w,1.9727683067321777,1
10,1,24,filler_random,NA,NA,NA,3,3.2,86.71650833095293,71.34469534188169,183.387429328822,127.80158367354352,185.84198584353035,153.23425460376473,3,NA,1.7648663520812988,1
10,1,25,critical,hwd,60,lower,2.1,2.11,133,57,57,133,55,55,1,h,2.475911855697632,1
10,1,26,filler_square,NA,NA,NA,3,3.2,81.51101806530777,76.65748177943127,126.00674592331382,126.00674592331382,79.46378723579254,65.623907131901845,2,NA,1.1805408000946045,1
10,1,27,filler_random,NA,NA,NA,1,1.2,151.6456533649005,98.9358776325529,65.79675008820317,196.5690391563071,80.46292082860778,67.73738300329909,1,NA,2.4460225105285645,1
10,1,28,critical,wdh,45,upper,4,4.2,125,200,117,117,200,125,1,w,1.6297578811645508,1
10,1,29,critical,dwh,45,upper,2.1,2.12,117,117,125,200,200,125,2,w,2.587472915649414,1
10,1,30,critical,wdh,45,upper,2.1,2.11,125,200,117,117,200,125,1,w,3.2999720573425293,1
10,1,31,critical,wdh,60,lower,4,4.2,57,133,55,55,133,57,1,w,4.827115058898926,1
10,1,32,critical,hdw,45,lower,1,1.2,133,57,65,65,57,133,1,h,1.2026958465576172,1
10,1,33,filler_random,NA,NA,NA,3,3.1,154.04396482140913,171.19400555567273,194.9750796803482,116.6963688317145,128.6775102296262,145.68499612968228,1,NA,4.315584659576416,1
10,1,34,critical,dhw,45,lower,3,3.1,65,65,133,57,57,133,2,h,2.3078665733337402,1
10,1,35,filler_random,NA,NA,NA,2.2,2.21,142.9046625750867,70.50964017946994,140.90347770410074,195.16605998219453,174.45381088509586,138.72539164340674,2,NA,5.694274187088013,1
10,1,36,critical,dwh,45,lower,3,3.1,65,65,57,133,133,57,3,h,2.363300085067749,1
10,1,37,critical,dwh,60,upper,2.1,2.12,100,100,125,200,200,125,2,w,2.847580909729004,1
10,1,38,critical,whd,60,upper,4,4.2,125,200,200,125,100,100,1,w,1.2812411785125732,1
10,1,39,critical,hwd,60,lower,3,3.1,133,57,57,133,55,55,1,h,3.402155876159668,1
10,1,40,filler_square,NA,NA,NA,2.2,2.21,190.5513909631353,190.5513909631353,147.66548058169235,161.25146483945127,136.28023906822415,169.48559961983727,1,NA,1.8031017780303955,1
10,1,41,filler_square,NA,NA,NA,2.1,2.11,109.40975731822087,115.33269074171454,178.41843204225066,178.41843204225066,70.66983402678898,145.57287020715728,2,NA,1.1162078380584717,1
10,1,42,critical,dwh,60,upper,1,1.3,100,100,125,200,200,125,2,w,2.8906667232513428,1
10,1,43,critical,hwd,45,lower,2.1,2.12,133,57,57,133,65,65,1,h,2.2298221588134766,1
10,1,44,critical,dwh,45,upper,3,3.1,117,117,125,200,200,125,2,w,2.0493967533111572,1
10,1,45,filler_square,NA,NA,NA,3,3.1,168.82170345613463,168.82170345613463,65.84094524865333,122.88964773752811,157.9943539325394,148.83745439005605,1,NA,1.7520639896392822,1
10,1,46,critical,hwd,45,lower,2.1,2.12,133,57,57,133,65,65,1,h,3.260618209838867,1
10,1,47,critical,whd,45,upper,2.1,2.11,125,200,200,125,117,117,1,w,5.69118857383728,1
10,1,48,critical,dwh,45,lower,4,4.2,65,65,57,133,133,57,2,w,1.8541948795318604,1
10,1,49,filler_square,NA,NA,NA,2.1,2.12,71.61931816675745,76.30321750499236,116.30925361965853,116.30925361965853,116.2447857828729,67.37127183625104,2,NA,2.224520444869995,1
10,1,50,filler_square,NA,NA,NA,2.2,2.21,151.59550817671746,151.59550817671746,130.487557208552,119.07977953048035,58.322910755630325,90.19156972524311,1,NA,1.851048231124878,1
10,1,51,filler_square,NA,NA,NA,2.1,2.11,93.05297493872408,96.6723145206846,83.72610616914739,71.13012948819863,149.1373470290751,149.1373470290751,3,NA,1.9493277072906494,1
10,1,52,critical,wdh,45,lower,2.1,2.12,57,133,65,65,133,57,3,h,1.8564777374267578,1
10,1,53,critical,whd,45,upper,1,1.1,125,200,200,125,117,117,2,h,2.5772292613983154,1
10,1,54,filler_square,NA,NA,NA,2.1,2.12,73.85282101670546,73.85282101670546,57.3362968090523,67.4165554461409,69.33633111688778,71.91467130354104,1,NA,2.6118366718292236,1
10,1,55,filler_random,NA,NA,NA,3,3.2,70.18713903302829,107.28209467886266,175.02166689785253,85.45308643855944,126.77407100385004,60.75785811683626,2,NA,2.004916191101074,1
10,1,56,filler_random,NA,NA,NA,4,4.2,154.89711590968614,62.01371707806821,198.610856312389,111.73195226772046,121.02812441395879,192.3190630942798,3,NA,2.176774501800537,1
10,1,57,critical,hdw,45,lower,3,3.1,133,57,65,65,57,133,3,w,3.184962749481201,1
10,1,58,filler_square,NA,NA,NA,3,3.1,132.85733714130197,109.20366984383733,134.2526577824105,134.2526577824105,61.32341941241966,133.365731431035,2,NA,1.733752727508545,1
10,1,59,filler_square,NA,NA,NA,2.2,2.21,63.204921049329215,65.55635073421996,68.33583000160722,68.33583000160722,64.44673376332904,59.77949931294081,2,NA,5.319628477096558,1
10,1,60,filler_random,NA,NA,NA,4,4.1,180.9741121091921,163.04903495963637,75.84974519651071,164.7039915315975,174.5702206230731,164.4182440745871,1,NA,8.130226373672485,1
10,1,61,filler_random,NA,NA,NA,4,4.1,118.21219178087497,90.66062677332553,133.64113858731776,163.52508091439609,134.66457452149263,71.2869593423754,2,NA,1.8417236804962158,1
10,1,62,filler_square,NA,NA,NA,2.1,2.11,118.13363880973462,118.13363880973462,77.9811431609557,105.7035072536799,76.98065833466802,108.97069187375662,1,NA,5.799993515014648,1
10,1,63,filler_square,NA,NA,NA,2.1,2.12,60.34228438383661,69.4456012610828,74.85342060862266,74.85342060862266,67.1504003999635,57.07014160602296,2,NA,1.7922697067260742,1
10,1,64,filler_random,NA,NA,NA,1,1.2,92.65256801663956,151.2549826791323,169.29053511878914,170.11690554137056,70.67332753800562,135.5639543006863,2,NA,1.1359589099884033,1
10,1,65,critical,dwh,60,lower,1,1.1,55,55,57,133,133,57,2,w,2.8283915519714355,1
10,1,66,filler_random,NA,NA,NA,2.1,2.11,183.9317987608162,161.4060591549129,174.32958680254748,158.83467784100702,167.91654637554998,128.01258571672128,1,NA,3.111973762512207,1
10,1,67,filler_random,NA,NA,NA,4,4.2,150.68857634751924,149.73361493825942,197.4576558007754,71.23892132294301,133.55980210661994,119.75793031486526,1,NA,1.8391954898834229,1
10,1,68,filler_random,NA,NA,NA,2.2,2.21,96.29735718576825,143.30822928397504,185.7116877146767,110.802774050527,71.74001909728624,153.26298998274586,2,NA,2.380518674850464,1
10,1,69,critical,hdw,45,lower,4,4.1,133,57,65,65,57,133,3,w,6.034531831741333,1
10,1,70,filler_random,NA,NA,NA,3,3.1,166.93760784314438,123.43431726220012,123.4467398392961,183.50260614338947,165.8697701243234,146.54733755630855,3,NA,4.287280559539795,1
10,1,71,critical,whd,60,lower,1,1.3,57,133,133,57,55,55,2,h,2.8743278980255127,1
10,1,72,critical,hdw,60,lower,4,4.2,133,57,55,55,57,133,1,h,2.3776423931121826,1
10,1,73,critical,hwd,60,lower,2.1,2.11,133,57,57,133,55,55,1,h,2.5379505157470703,1
10,1,74,critical,dwh,60,upper,4,4.2,100,100,125,200,200,125,2,w,2.955087423324585,1
10,1,75,critical,hdw,45,lower,2.1,2.11,133,57,65,65,57,133,1,h,4.115189552307129,1
10,1,76,filler_random,NA,NA,NA,3,3.1,108.30058970848685,110.56958262386708,64.18164086721099,83.58024551855456,117.60280449427222,185.67327067413098,3,NA,1.77500319480896,1
10,1,77,critical,whd,45,lower,3,3.1,57,133,133,57,65,65,2,h,4.394901752471924,1
10,1,78,filler_random,NA,NA,NA,3,3.1,145.44643326099853,80.51359683131483,103.25882366189441,157.174176359736,194.13032927059345,148.1413318046834,3,NA,2.44124174118042,1
10,1,79,critical,dhw,45,upper,2.1,2.12,117,117,200,125,125,200,2,h,2.2036893367767334,1
10,1,80,critical,dwh,60,lower,3,3.1,55,55,57,133,133,57,2,w,4.130079507827759,1
10,1,81,filler_random,NA,NA,NA,4,4.1,58.54358844282092,195.96822486174716,103.01252317343003,73.42456916441978,97.18553806574026,122.54547270259289,1,NA,2.7409374713897705,0
10,1,82,critical,dwh,45,lower,2.1,2.11,65,65,57,133,133,57,3,h,4.09893536567688,1
10,1,83,critical,hwd,45,upper,4,4.1,200,125,125,200,117,117,1,h,2.92409348487854,1
10,1,84,filler_random,NA,NA,NA,4,4.2,96.1328681920828,59.26392242574789,193.48039196692224,133.4918813806396,64.30020041640692,114.3853386956189,2,NA,1.291292667388916,1
