thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023319721221923828,0.044066667556762695,0.044066667556762695,0.044066667556762695,0.023114442825317383,14.64450192451477,1,[14.597634553909302],[14.597657203674316],0,,,[-101.0],[-491.0],[1],[0],[0],[14.620757818222046],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.645199060440063,14.645269393920898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.645316362380981,14.671436786651611,16.655755043029785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,16.673715591430664,,,,,,,,,,,,,,,,,,,,,,,,,,16.656747102737427,16.673715591430664,16.673715591430664,18.154872179031372,22.12942385673523,space,3.9502782821655273,None,22.12956476211548,22.146814107894897,22.146814107894897,23.643540382385254,27.66269826889038,space,4.005120277404785,None,27.662880420684814,27.713139295578003,27.713139295578003,27.713139295578003,27.713139295578003,27.713139295578003,27.713139295578003,27.713139295578003,27.713139295578003,27.713139295578003,29.164530992507935,35.296934843063354,space,6.125046968460083,None,35.297093629837036,35.314448833465576,35.314448833465576,35.314448833465576,36.7977032661438,42.299161434173584,space,5.499403953552246,None,42.29931592941284,42.314077615737915,42.314077615737915,43.79991292953491,44.30176854133606,space,0.4891338348388672,None,44.301989793777466,44.317638635635376,44.317638635635376,45.65175938606262,space,1.3309597969055176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
0,0,0,critical,dhw,45.0,3.0,upper,117.0,117.0,200.0,125.0,125.0,200.0,3,3.076479434967041,None,,,,,0,0,0,0,0,0,0,51,45.828704595565796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,117.0,200.0,125.0,125.0,200.0,3.0,3.2,-217,-273,0,-4,258,262,45.81239056587219,45.81243062019348,45.81381273269653,45.828704595565796,45.97409200668335,45.97409200668335,45.97409200668335,45.97409200668335,45.97409200668335,45.97409200668335,45.97409200668335,48.91321682929993,3,3.076479434967041,None,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
1,1,0,filler_random,None,None,None,None,None,None,None,None,None,None,3,14.82210922241211,None,,,,,0,0,0,0,0,1,1,160,48.93177556991577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.24191994949828,145.59389676632549,152.70006695658049,60.61711272720512,98.17365122677735,142.02184846642263,3.0,3.1,-199,256,0,-11,197,-278,48.915104150772095,48.91518425941467,48.918416261672974,48.93177556991577,49.06964087486267,49.06964087486267,49.06964087486267,49.06964087486267,49.06964087486267,49.06964087486267,49.06964087486267,63.760204553604126,3,14.82210922241211,None,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
2,2,0,critical,dhw,45.0,4.0,upper,117.0,117.0,200.0,125.0,125.0,200.0,2,1.7614891529083252,None,,,,,0,0,0,0,0,2,2,53,63.77626276016235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,117.0,200.0,125.0,125.0,200.0,4.0,4.2,-217,-10,0,-251,258,-12,63.76238012313843,63.762516260147095,63.765517473220825,63.77626276016235,63.92516732215881,63.92516732215881,63.92516732215881,63.92516732215881,63.92516732215881,63.92516732215881,63.92516732215881,65.54323887825012,2,1.7614891529083252,None,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
3,3,0,catch,None,None,None,None,None,None,None,None,None,None,2,1.2741756439208984,None,,,,,0,0,0,0,0,3,3,125,65.5593364238739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,63,175,150,75,115,2.1,2.11,-202,275,0,262,228,-289,65.54544806480408,65.54553318023682,65.54868054389954,65.5593364238739,65.7080729007721,65.7080729007721,65.7080729007721,65.7080729007721,65.7080729007721,65.7080729007721,65.7080729007721,66.84345173835754,2,1.2741756439208984,None,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
4,4,0,filler_random,None,None,None,None,None,None,None,None,None,None,3,1.4449055194854736,None,,,,,0,0,0,0,0,4,4,132,66.85995864868164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.96531993611733,170.36270801281393,121.28397719904173,118.16721780614577,131.6408275248284,178.96843777102077,2.2,2.22,-240,254,0,-286,245,-288,66.84545254707336,66.84553575515747,66.84905433654785,66.85995864868164,67.00909662246704,67.00909662246704,67.00909662246704,67.00909662246704,67.00909662246704,67.00909662246704,67.00909662246704,68.3180639743805,3,1.4449055194854736,None,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
5,5,0,critical,dwh,45.0,3.0,upper,117.0,117.0,125.0,200.0,200.0,125.0,2,4.509938478469849,None,,,,,0,0,0,0,0,5,5,63,68.33089876174927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,117.0,125.0,200.0,200.0,125.0,3.0,3.1,-254,259,0,-20,258,-269,68.31913161277771,68.31915330886841,68.31992864608765,68.33089876174927,68.47780156135559,68.47780156135559,68.47780156135559,68.47780156135559,68.47780156135559,68.47780156135559,68.47780156135559,72.84484601020813,2,4.509938478469849,None,,,,,,,,,,,,,,,,,,2,1,2025-02-11_14h52.07.220,comp,2024.2.5,56.739820648064104,2025-02-11 14h52.15.414472 -0500,
