thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023893117904663086,0.06720185279846191,0.06720185279846191,0.06720185279846191,0.02343893051147461,22.73917317390442,1,[22.670725345611572],[22.670737981796265],0,,,[-73.0],[-506.0],[1],[0],[0],[22.70235586166382],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.739449501037598,22.739482402801514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.73950505256653,22.752946138381958,24.752923250198364,24.736305952072144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,24.752923250198364,,,,,,,,,,,,,,,,,,,,,,,,,,,24.736854791641235,24.752923250198364,24.752923250198364,26.252726316452026,29.15454864501953,space,2.8831393718719482,None,29.15465021133423,29.169598817825317,29.169598817825317,30.669602155685425,37.420446157455444,space,6.734774351119995,None,37.420533657073975,37.44247364997864,37.44247364997864,37.44247364997864,37.44247364997864,37.44247364997864,37.44247364997864,37.44247364997864,37.44247364997864,37.44247364997864,38.9197838306427,42.40451264381409,space,3.477323532104492,None,42.40460014343262,42.42004132270813,42.42004132270813,42.42004132270813,43.919450759887695,48.18728423118591,space,4.261430025100708,None,48.187368392944336,48.2029128074646,48.2029128074646,49.702606201171875,54.02022981643677,space,4.30144190788269,None,54.02033829689026,54.035855770111084,54.035855770111084,54.870156049728394,space,0.816899299621582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
0,0,0,critical,whd,45.0,4.0,lower,57.0,133.0,133.0,57.0,65.0,65.0,2,3.7497718334198,None,,,,,0,0,0,0,0,0,0,88,55.00647163391113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,133.0,57.0,65.0,65.0,4.0,4.2,-191,-14,0,-271,157,-19,54.99293923377991,54.992987871170044,54.99509263038635,55.00647163391113,55.159517765045166,55.159517765045166,55.159517765045166,55.159517765045166,55.159517765045166,55.159517765045166,55.159517765045166,58.77055358886719,2,3.7497718334198,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
1,1,0,critical,hwd,60.0,2.1,lower,133.0,57.0,57.0,133.0,55.0,55.0,1,1.633897066116333,None,,,,,0,0,0,0,0,1,1,42,58.786125898361206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,57.0,57.0,133.0,55.0,55.0,2.1,2.11,-191,252,0,273,190,-288,58.77136445045471,58.77140426635742,58.775028705596924,58.786125898361206,58.935816049575806,58.935816049575806,58.935816049575806,58.935816049575806,58.935816049575806,58.935816049575806,58.935816049575806,60.43701148033142,1,1.633897066116333,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
2,2,0,critical,whd,60.0,2.1,lower,57.0,133.0,133.0,57.0,55.0,55.0,2,4.824904203414917,None,,,,,0,0,0,0,0,2,2,38,60.45237374305725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,133.0,133.0,57.0,55.0,55.0,2.1,2.11,-191,282,0,254,152,-268,60.437795877456665,60.43783378601074,60.44077205657959,60.45237374305725,60.602641582489014,60.602641582489014,60.602641582489014,60.602641582489014,60.602641582489014,60.602641582489014,60.602641582489014,65.28697609901428,2,4.824904203414917,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
3,3,0,critical,dwh,45.0,2.1,lower,65.0,65.0,57.0,133.0,133.0,57.0,2,2.7260069847106934,None,,,,,0,0,0,0,0,3,3,28,65.30263924598694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,57.0,133.0,133.0,57.0,2.1,2.12,-195,-263,0,-279,191,263,65.28782200813293,65.28786301612854,65.29032635688782,65.30263924598694,65.4523983001709,65.4523983001709,65.4523983001709,65.4523983001709,65.4523983001709,65.4523983001709,65.4523983001709,68.03676652908325,2,2.7260069847106934,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
4,4,0,critical,wdh,45.0,1.0,upper,125.0,200.0,117.0,117.0,200.0,125.0,1,4.327944278717041,None,,,,,0,0,0,0,0,4,4,73,68.05283045768738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,117.0,117.0,200.0,125.0,1.0,1.2,-254,-1,0,-20,217,16,68.03756618499756,68.03760623931885,68.0400013923645,68.05283045768738,68.20260047912598,68.20260047912598,68.20260047912598,68.20260047912598,68.20260047912598,68.20260047912598,68.20260047912598,72.38730120658875,1,4.327944278717041,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
5,5,0,filler_random,None,None,None,None,None,None,None,None,None,None,2,8.041619300842285,None,,,,,0,0,0,0,0,5,5,135,72.4029221534729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.34976819755853,61.975878342013516,125.09671606185951,116.8898449658157,68.46684322798521,182.04241002181607,1.0,1.3,295,-280,480,-283,725,-285,72.38824915885925,72.38829183578491,72.39051723480225,72.4029221534729,72.5524091720581,72.5524091720581,72.5524091720581,72.5524091720581,72.5524091720581,72.5524091720581,72.5524091720581,80.4542167186737,2,8.041619300842285,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
